,broj_tema,avg_rezultata,posto_poz,posto_neg
2021-01-04,16,-0.7408253066241741,0.125,0.875
2021-01-05,10,-0.4295803904533386,0.3,0.7
2021-01-08,13,-0.6830869546303382,0.15384615384615385,0.8461538461538461
2021-01-09,10,-0.6200840055942536,0.2,0.8
2021-01-10,8,-0.7514669522643089,0.125,0.875
2021-01-11,8,-0.7678149789571762,0.125,0.875
2021-01-12,13,-0.24768148018763617,0.38461538461538464,0.6153846153846154
2021-01-13,10,-0.5993458688259125,0.2,0.8
2021-01-14,11,-0.6243924227627841,0.18181818181818182,0.8181818181818182
2021-01-15,7,-0.4301886899130685,0.2857142857142857,0.7142857142857143
2021-01-18,3,-0.9948671658833822,0.0,1.0
2021-01-19,12,-0.803723673025767,0.08333333333333333,0.9166666666666666
2021-01-20,7,-0.42357139928000315,0.2857142857142857,0.7142857142857143
2021-01-21,12,-0.7917898346980413,0.08333333333333333,0.9166666666666666
2021-01-22,6,-0.9114305873711904,0.0,1.0
2021-01-26,3,-0.9878857731819153,0.0,1.0
2021-01-27,9,-0.9647735953330994,0.0,1.0
2021-01-28,11,-0.8077316121621565,0.09090909090909091,0.9090909090909091
2021-01-29,14,-0.5481031664780208,0.21428571428571427,0.7857142857142857
2021-01-30,10,-0.7689864814281464,0.1,0.9
2021-01-31,7,-0.4017164707183838,0.2857142857142857,0.7142857142857143
2021-02-01,10,-0.5879526257514953,0.2,0.8
2021-02-02,5,-0.5938155055046082,0.2,0.8
2021-02-03,3,-0.975849986076355,0.0,1.0
2021-02-04,5,-0.5911587119102478,0.2,0.8
2021-02-05,3,-0.9737150470415751,0.0,1.0
2021-02-12,11,-0.8158929347991943,0.09090909090909091,0.9090909090909091
2021-02-13,9,-0.5590823557641771,0.2222222222222222,0.7777777777777778
2021-02-14,7,-0.9908819879804339,0.0,1.0
2021-02-15,8,-0.6948554068803787,0.125,0.875
2021-02-16,5,-0.5987488269805908,0.2,0.8
2021-02-20,3,-0.33859769503275555,0.3333333333333333,0.6666666666666666
2021-02-21,16,-0.6189793646335602,0.1875,0.8125
2021-02-22,10,-0.7818349421024322,0.1,0.9
2021-02-23,5,-0.6757032394409179,0.2,0.8
2021-02-24,6,-0.7172990838686625,0.16666666666666666,0.8333333333333334
2021-03-01,3,0.34957683086395264,0.6666666666666666,0.3333333333333333
2021-03-02,9,-0.3325183656480577,0.3333333333333333,0.6666666666666666
2021-03-03,3,-0.9908716082572937,0.0,1.0
2021-03-04,3,-0.9839048584302267,0.0,1.0
2021-03-05,10,-0.2199232518672943,0.4,0.6
2021-03-06,6,-0.3571126659711202,0.3333333333333333,0.6666666666666666
2021-03-07,7,-0.9879306384495327,0.0,1.0
2021-03-08,3,-0.33083746830622357,0.3333333333333333,0.6666666666666666
2021-03-09,6,-0.9960829118887583,0.0,1.0
2021-03-10,6,-0.1309644083182017,0.5,0.5
2021-03-11,6,-0.9187809924284617,0.0,1.0
2021-03-12,3,-0.9281967878341675,0.0,1.0
2021-03-13,8,-0.4935029521584511,0.25,0.75
2021-03-14,4,-0.9970833212137222,0.0,1.0
2021-03-15,3,-0.3432800769805908,0.3333333333333333,0.6666666666666666
2021-03-22,4,-0.45473523437976837,0.25,0.75
2021-03-23,5,-0.5672147393226623,0.2,0.8
2021-03-24,9,0.05967390537261963,0.5555555555555556,0.4444444444444444
2021-03-25,10,-0.008148348331451416,0.5,0.5
2021-03-26,9,-0.911320275730557,0.0,1.0
2021-03-27,3,-0.9866924087206522,0.0,1.0
2021-04-03,2,-0.9932317137718201,0.0,1.0
2021-04-04,5,-0.19365955591201783,0.4,0.6
2021-04-05,9,-0.5476634502410889,0.2222222222222222,0.7777777777777778
2021-04-06,8,-0.47688085585832596,0.25,0.75
2021-04-07,4,-0.98660708963871,0.0,1.0
2021-04-08,8,-0.7444681599736214,0.125,0.875
2021-04-09,8,-0.6816045939922333,0.125,0.875
2021-04-10,6,-0.9944480260213217,0.0,1.0
2021-04-11,7,-0.702611335686275,0.14285714285714285,0.8571428571428571
2021-04-12,8,-0.7040121257305145,0.125,0.875
2021-04-13,9,-0.07715897427664863,0.4444444444444444,0.5555555555555556
2021-04-14,4,0.45002424716949463,0.75,0.25
2021-04-15,2,-0.9439394176006317,0.0,1.0
2021-04-19,1,0.9812396764755249,1.0,0.0
2021-04-20,10,-0.783970731496811,0.1,0.9
2021-04-21,10,-0.7608956098556519,0.1,0.9
2021-04-22,12,-0.3324802915255229,0.3333333333333333,0.6666666666666666
2021-04-23,9,-0.5188280873828464,0.2222222222222222,0.7777777777777778
2021-04-24,5,-0.9613774657249451,0.0,1.0
2021-04-25,9,-0.5559278594122993,0.2222222222222222,0.7777777777777778
2021-04-26,13,-0.8046075793413016,0.07692307692307693,0.9230769230769231
2021-04-27,17,-0.6449224107405719,0.17647058823529413,0.8235294117647058
2021-04-28,5,-0.530189859867096,0.2,0.8
2021-04-29,7,-0.6737692185810634,0.14285714285714285,0.8571428571428571
2021-04-30,10,-0.5997581064701081,0.2,0.8
2021-05-01,6,-0.4381511112054189,0.3333333333333333,0.6666666666666666
2021-05-02,3,-0.9067442814509074,0.0,1.0
2021-05-04,7,-0.12079801729747228,0.42857142857142855,0.5714285714285714
2021-05-05,3,-0.9777504404385885,0.0,1.0
2021-05-06,4,-0.4969557523727417,0.25,0.75
2021-05-07,8,-0.717500850558281,0.125,0.875
2021-05-08,5,-0.17413302659988403,0.4,0.6
2021-05-09,11,-0.5759782140905206,0.18181818181818182,0.8181818181818182
2021-05-10,5,-0.5919736981391907,0.2,0.8
2021-05-16,6,-0.33099647363026935,0.3333333333333333,0.6666666666666666
2021-05-17,14,-0.5984521550791604,0.21428571428571427,0.7857142857142857
2021-05-18,13,-0.7079546038921063,0.15384615384615385,0.8461538461538461
2021-05-19,7,-0.40408668347767424,0.2857142857142857,0.7142857142857143
2021-05-25,4,-0.5185894072055817,0.25,0.75
2021-05-26,11,-0.7548427690159191,0.09090909090909091,0.9090909090909091
2021-05-27,11,-0.2631424828009172,0.36363636363636365,0.6363636363636364
2021-05-28,11,-0.2667020450938832,0.36363636363636365,0.6363636363636364
2021-05-29,3,-0.49249722560246784,0.3333333333333333,0.6666666666666666
2021-06-03,3,-0.31471526622772217,0.3333333333333333,0.6666666666666666
2021-06-04,13,-0.6890922280458304,0.15384615384615385,0.8461538461538461
2021-06-05,10,-0.44215030074119566,0.3,0.7
2021-06-06,4,0.037016212940216064,0.5,0.5
2021-06-07,3,-0.3339287241299947,0.3333333333333333,0.6666666666666666
2021-06-08,13,-0.8100649622770456,0.07692307692307693,0.9230769230769231
2021-06-09,3,-0.9935035705566406,0.0,1.0
2021-06-10,8,-0.5519288405776024,0.25,0.75
2021-06-11,8,-0.7193169519305229,0.125,0.875
2021-06-12,5,-0.5968969106674195,0.2,0.8
2021-06-13,7,0.09063013110842023,0.5714285714285714,0.42857142857142855
2021-06-14,15,-0.5109237472216288,0.26666666666666666,0.7333333333333333
2021-06-15,6,-0.6585921843846639,0.16666666666666666,0.8333333333333334
2021-06-16,12,-0.3342411071062088,0.3333333333333333,0.6666666666666666
2021-06-17,4,-0.9444101899862289,0.0,1.0
2021-06-18,10,-0.7903910458087922,0.1,0.9
2021-06-19,2,-0.9429906904697418,0.0,1.0
2021-06-20,5,-0.8962586164474488,0.0,1.0
2021-06-21,8,-0.246766097843647,0.375,0.625
2021-06-22,8,-0.7427051961421967,0.125,0.875
2021-06-23,13,-0.6925954956274766,0.15384615384615385,0.8461538461538461
2021-06-24,8,-0.28608324378728867,0.375,0.625
2021-06-25,8,-0.7444778084754944,0.125,0.875
2021-06-26,4,-0.5036908090114594,0.25,0.75
2021-06-27,9,-0.9622739288542006,0.0,1.0
2021-06-28,4,-0.5684008300304413,0.25,0.75
